times_used,number_of_cups,proportion
1,141,12.0
2,121,11.0
3,174,15.0
4,143,12.0
5,140,12.0
6,136,12.0
7,122,11.0
8,95,8.0
9,50,4.0
10,17,1.0
11,7,1.0
12,1,0.0
